chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D16APG2r2	0.0	mmu-mir-466a-5p	6128	no	D16L	-1.83089287141	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466a-5p	6128	no	D18H	None	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466a-5p	6128	no	D2H	-1.42103267069	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466a-5p	6128	no	D21Ø	-0.776272100109	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466a-5p	6128	no	D21L	None	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466a-5p	6128	no	D5H	None	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466a-5p	6128	no	D8H	-1.02825774228	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466a-5p	6128	no	1⁰iPSC	-1.44044880703	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466a-5p	6128	no	2⁰iPSC	-2.21644707363	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466a-5p	6128	no	ESC	0.779166441543	ESC	ESC	ESC	
D0	0.0	mmu-mir-669f-3p	6128	no	2°MEF	1.66030646228	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669f-3p	6128	no	D11H	2.23452076662	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669f-3p	6128	no	D16H	2.42576990951	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669f-3p	6128	no	D16L	3.97903599432	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669f-3p	6128	no	D18H	1.9267677827	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669f-3p	6128	no	D2H	3.74219767801	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669f-3p	6128	no	D21Ø	4.29772848126	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669f-3p	6128	no	D21L	5.21008629053	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669f-3p	6128	no	D5H	2.29416696259	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669f-3p	6128	no	D8H	3.16438733567	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669f-3p	6128	no	1⁰iPSC	3.41753218803	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669f-3p	6128	no	2⁰iPSC	2.48399264472	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669f-3p	6128	no	ESC	2.84525563196	ESC	ESC	ESC	
D0	0.0	mmu-mir-466p-5p	6128	no	2°MEF	-3.5876210519	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466p-5p	6128	no	D11H	None	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466p-5p	6128	no	D16H	1.42576990951	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466p-5p	6128	no	D16L	1.64159490006	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466p-5p	6128	no	D18H	0.651133340091	D18H	High Dox	Day 18	
