chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D2	0.0	mmu-mir-669c-5p	6128	no	D2H	6.92400289102	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669c-5p	6128	no	D21Ø	8.01626135732	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669c-5p	6128	no	D21L	2.13813644866	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669c-5p	6128	no	D5H	9.09090190201	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669c-5p	6128	no	D8H	6.63809308529	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669c-5p	6128	no	1⁰iPSC	10.3781333704	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669c-5p	6128	no	2⁰iPSC	10.4268454535	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669c-5p	6128	no	ESC	9.51725870112	ESC	ESC	ESC	
D0	0.0	mmu-mir-466p-3p	6128	no	2°MEF	8.45847979387	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466p-3p	6128	no	D11H	10.9075246136	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466p-3p	6128	no	D16H	11.3410624474	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466p-3p	6128	no	D16L	9.94771818653	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466p-3p	6128	no	D18H	10.9204446054	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466p-3p	6128	no	D2H	11.7252973391	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466p-3p	6128	no	D21Ø	10.9106660715	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466p-3p	6128	no	D21L	11.6169060681	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466p-3p	6128	no	D5H	10.7827244339	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466p-3p	6128	no	D8H	10.9387626085	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466p-3p	6128	no	1⁰iPSC	11.8930140617	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466p-3p	6128	no	2⁰iPSC	11.3820707372	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466p-3p	6128	no	ESC	11.4309469223	ESC	ESC	ESC	
D0	0.0	mmu-mir-669h-3p	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669h-3p	6128	no	D11H	-1.54683894702	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669h-3p	6128	no	D16H	None	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669h-3p	6128	no	D16L	-2.34546604395	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669h-3p	6128	no	D18H	-3.59679417317	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669h-3p	6128	no	D2H	-2.42103267107	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669h-3p	6128	no	D21Ø	-2.43923711324	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669h-3p	6128	no	D21L	0.263667330699	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669h-3p	6128	no	D5H	-3.09815046077	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669h-3p	6128	no	D8H	-3.83561266404	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669h-3p	6128	no	1⁰iPSC	None	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669h-3p	6128	no	2⁰iPSC	-3.21644707363	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669h-3p	6128	no	ESC	None	ESC	ESC	ESC	
D0	0.0	mmu-mir-466h-3p	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466h-3p	6128	no	D11H	-0.546838946811	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466h-3p	6128	no	D16H	-0.381585012545	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466h-3p	6128	no	D16L	-1.98289596497	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466h-3p	6128	no	D18H	-0.426869171921	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466h-3p	6128	no	D2H	-1.42103267069	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466h-3p	6128	no	D21Ø	-0.936736772346	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466h-3p	6128	no	D21L	0.945491370679	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466h-3p	6128	no	D5H	-1.29079553819	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466h-3p	6128	no	D8H	-0.250650163665	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466h-3p	6128	no	1⁰iPSC	0.485550611483	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466h-3p	6128	no	2⁰iPSC	1.95347792803	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466h-3p	6128	no	ESC	2.88769089828	ESC	ESC	ESC	
D0	0.0	mmu-mir-467b-5p	6128	no	2°MEF	6.78415559318	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467b-5p	6128	no	D11H	8.07338087861	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467b-5p	6128	no	D16H	9.05746666805	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467b-5p	6128	no	D16L	7.71136517837	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467b-5p	6128	no	D18H	7.46322618115	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467b-5p	6128	no	D2H	8.86802559607	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467b-5p	6128	no	D21Ø	8.23186161284	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467b-5p	6128	no	D21L	7.95584690705	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467b-5p	6128	no	D5H	8.29201849602	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467b-5p	6128	no	D8H	7.61043674239	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467b-5p	6128	no	1⁰iPSC	8.85003089116	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467b-5p	6128	no	2⁰iPSC	8.40971824649	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467b-5p	6128	no	ESC	8.25185728075	ESC	ESC	ESC	
D0	0.0	mmu-mir-669e-3p	6128	no	2°MEF	0.41237894886	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669e-3p	6128	no	D11H	2.09701724287	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669e-3p	6128	no	D16H	3.07784660609	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669e-3p	6128	no	D16L	2.76604227099	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669e-3p	6128	no	D18H	2.68860804549	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669e-3p	6128	no	D2H	4.48585792474	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669e-3p	6128	no	D21Ø	3.64468537064	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669e-3p	6128	no	D21L	4.35466186295	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669e-3p	6128	no	D5H	1.75983053495	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669e-3p	6128	no	D8H	2.68794929172	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669e-3p	6128	no	1⁰iPSC	3.96554355258	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669e-3p	6128	no	2⁰iPSC	2.48399264472	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669e-3p	6128	no	ESC	2.70990377906	ESC	ESC	ESC	
D0	0.0	mmu-mir-297c-3p	6128	no	2°MEF	8.53294084529	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-297c-3p	6128	no	D11H	9.0063103287	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-297c-3p	6128	no	D16H	9.71001565935	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-297c-3p	6128	no	D16L	8.17655494499	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-297c-3p	6128	no	D18H	9.26816574178	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-297c-3p	6128	no	D2H	11.0442361176	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-297c-3p	6128	no	D21Ø	8.84056689779	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-297c-3p	6128	no	D21L	9.62579380504	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-297c-3p	6128	no	D5H	10.0019369199	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-297c-3p	6128	no	D8H	10.0523694687	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-297c-3p	6128	no	1⁰iPSC	10.4010369175	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-297c-3p	6128	no	2⁰iPSC	9.68328746894	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-297c-3p	6128	no	ESC	10.3489034023	ESC	ESC	ESC	
D0	0.0	mmu-mir-297b-3p	6128	no	2°MEF	8.53423619446	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-297b-3p	6128	no	D11H	9.00727020568	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-297b-3p	6128	no	D16H	9.71034617368	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-297b-3p	6128	no	D16L	8.17669510092	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-297b-3p	6128	no	D18H	9.26990520952	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-297b-3p	6128	no	D2H	11.0438533779	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-297b-3p	6128	no	D21Ø	8.84037346814	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-297b-3p	6128	no	D21L	9.62570245765	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-297b-3p	6128	no	D5H	10.0019369199	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-297b-3p	6128	no	D8H	10.0525597853	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-297b-3p	6128	no	1⁰iPSC	10.4010369175	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-297b-3p	6128	no	2⁰iPSC	9.68196536827	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-297b-3p	6128	no	ESC	10.3491406876	ESC	ESC	ESC	
D0	0.0	mmu-mir-669j	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669j	6128	no	D11H	None	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669j	6128	no	D16H	None	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669j	6128	no	D16L	-5.15282096527	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669j	6128	no	D18H	None	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669j	6128	no	D2H	None	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669j	6128	no	D21Ø	-1.854274612	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669j	6128	no	D21L	-4.3212951705	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669j	6128	no	D5H	None	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669j	6128	no	D8H	-2.83561266404	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669j	6128	no	1⁰iPSC	None	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669j	6128	no	2⁰iPSC	None	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669j	6128	no	ESC	None	ESC	ESC	ESC	
D0	0.0	mmu-mir-466m-3p	6128	no	2°MEF	2.76993095346	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466m-3p	6128	no	D11H	5.36904043194	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466m-3p	6128	no	D16H	5.72432349603	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466m-3p	6128	no	D16L	4.17135958033	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466m-3p	6128	no	D18H	5.447599946	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466m-3p	6128	no	D2H	6.64864085694	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466m-3p	6128	no	D21Ø	5.20341632978	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466m-3p	6128	no	D21L	6.67128917402	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466m-3p	6128	no	D5H	5.69626540617	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466m-3p	6128	no	D8H	5.90247959529	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466m-3p	6128	no	1⁰iPSC	6.3746142101	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466m-3p	6128	no	2⁰iPSC	5.67229617548	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466m-3p	6128	no	ESC	6.2508416559	ESC	ESC	ESC	
D0	0.0	mmu-mir-669g	6128	no	2°MEF	-1.58762105103	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669g	6128	no	D11H	2.00774990479	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669g	6128	no	D16H	1.7883399889	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669g	6128	no	D16L	4.96222268388	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669g	6128	no	D18H	2.59303038552	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669g	6128	no	D2H	2.62336144849	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669g	6128	no	D21Ø	4.78154425852	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669g	6128	no	D21L	3.88082865384	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669g	6128	no	D5H	2.07177454125	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669g	6128	no	D8H	1.37384070131	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669g	6128	no	1⁰iPSC	3.36690611497	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669g	6128	no	2⁰iPSC	2.93330004608	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669g	6128	no	ESC	2.56052615503	ESC	ESC	ESC	
D0	0.0	mmu-mir-466e-3p	6128	no	2°MEF	8.46052520306	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466e-3p	6128	no	D11H	10.9084240494	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466e-3p	6128	no	D16H	11.3418626259	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466e-3p	6128	no	D16L	9.9505078272	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466e-3p	6128	no	D18H	10.9208752148	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466e-3p	6128	no	D2H	11.7262517655	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466e-3p	6128	no	D21Ø	10.9131971968	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466e-3p	6128	no	D21L	11.6188578129	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466e-3p	6128	no	D5H	10.784779113	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466e-3p	6128	no	D8H	10.9405633086	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466e-3p	6128	no	1⁰iPSC	11.8939082884	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466e-3p	6128	no	2⁰iPSC	11.3830009081	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466e-3p	6128	no	ESC	11.4310590111	ESC	ESC	ESC	
D0	0.0	mmu-mir-669d-5p	6128	no	2°MEF	5.2765650935	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669d-5p	6128	no	D11H	5.36005164871	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669d-5p	6128	no	D16H	6.65733397675	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669d-5p	6128	no	D16L	7.8069998933	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669d-5p	6128	no	D18H	6.98628859414	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669d-5p	6128	no	D2H	6.17764020989	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669d-5p	6128	no	D21Ø	8.39404832267	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669d-5p	6128	no	D21L	4.71625178398	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669d-5p	6128	no	D5H	5.74890688591	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669d-5p	6128	no	D8H	6.56526677196	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669d-5p	6128	no	1⁰iPSC	7.40190153632	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669d-5p	6128	no	2⁰iPSC	7.15424033339	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669d-5p	6128	no	ESC	8.82014104032	ESC	ESC	ESC	
D0	0.0	mmu-mir-467c-3p	6128	no	2°MEF	3.33124218612	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467c-3p	6128	no	D11H	4.79745696102	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467c-3p	6128	no	D16H	5.89686444568	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467c-3p	6128	no	D16L	6.36534038947	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467c-3p	6128	no	D18H	5.0215913289	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467c-3p	6128	no	D2H	6.64146325487	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467c-3p	6128	no	D21Ø	6.5752483679	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467c-3p	6128	no	D21L	7.10050669048	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467c-3p	6128	no	D5H	5.4564383915	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467c-3p	6128	no	D8H	5.4288299359	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467c-3p	6128	no	1⁰iPSC	6.63529773097	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467c-3p	6128	no	2⁰iPSC	5.54510415903	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467c-3p	6128	no	ESC	6.0714880743	ESC	ESC	ESC	
D0	0.0	mmu-mir-466d-3p	6128	no	2°MEF	5.51566675726	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466d-3p	6128	no	D11H	7.01444899827	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466d-3p	6128	no	D16H	7.52154366427	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466d-3p	6128	no	D16L	6.80681879808	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466d-3p	6128	no	D18H	6.80194951858	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466d-3p	6128	no	D2H	8.01220500723	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466d-3p	6128	no	D21Ø	7.74501838249	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466d-3p	6128	no	D21L	8.26319762699	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466d-3p	6128	no	D5H	6.66672113056	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466d-3p	6128	no	D8H	6.85525834497	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466d-3p	6128	no	1⁰iPSC	8.14639098087	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466d-3p	6128	no	2⁰iPSC	7.20351310443	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466d-3p	6128	no	ESC	7.7478332347	ESC	ESC	ESC	
D0	0.0	mmu-mir-669o-5p	6128	no	2°MEF	5.95734338163	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669o-5p	6128	no	D11H	6.81510482684	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669o-5p	6128	no	D16H	8.05356432583	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669o-5p	6128	no	D16L	7.92014900226	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669o-5p	6128	no	D18H	8.24122788495	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669o-5p	6128	no	D2H	7.57896732913	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669o-5p	6128	no	D21Ø	8.5170180281	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669o-5p	6128	no	D21L	7.07236342147	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669o-5p	6128	no	D5H	7.57250578894	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669o-5p	6128	no	D8H	7.93835070411	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669o-5p	6128	no	1⁰iPSC	8.78548160408	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669o-5p	6128	no	2⁰iPSC	9.00181342538	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669o-5p	6128	no	ESC	10.1730931171	ESC	ESC	ESC	
D0	0.0	mmu-mir-669l-5p	6128	no	2°MEF	7.25865286019	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669l-5p	6128	no	D11H	8.0177869159	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669l-5p	6128	no	D16H	9.07938275003	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669l-5p	6128	no	D16L	8.88618373191	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669l-5p	6128	no	D18H	9.10710940009	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669l-5p	6128	no	D2H	8.79267912724	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669l-5p	6128	no	D21Ø	9.04104820803	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669l-5p	6128	no	D21L	7.99668265242	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669l-5p	6128	no	D5H	8.54322396412	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669l-5p	6128	no	D8H	9.15182900861	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669l-5p	6128	no	1⁰iPSC	9.42466581236	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669l-5p	6128	no	2⁰iPSC	9.53864913689	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669l-5p	6128	no	ESC	10.9262123304	ESC	ESC	ESC	
D0	0.0	mmu-mir-669b-5p	6128	no	2°MEF	7.56846202513	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669b-5p	6128	no	D11H	9.2406555528	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669b-5p	6128	no	D16H	10.2300161942	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669b-5p	6128	no	D16L	9.87192914038	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669b-5p	6128	no	D18H	10.4119845749	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669b-5p	6128	no	D2H	10.089978682	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669b-5p	6128	no	D21Ø	10.3335585541	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669b-5p	6128	no	D21L	9.75364069385	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669b-5p	6128	no	D5H	9.59544539229	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669b-5p	6128	no	D8H	10.2330816555	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669b-5p	6128	no	1⁰iPSC	10.8925387782	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669b-5p	6128	no	2⁰iPSC	11.0253126855	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669b-5p	6128	no	ESC	12.2947430936	ESC	ESC	ESC	
D0	0.0	mmu-mir-466n-3p	6128	no	2°MEF	3.02708879296	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466n-3p	6128	no	D11H	5.25082257896	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466n-3p	6128	no	D16H	5.3153825137	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466n-3p	6128	no	D16L	5.52753855723	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466n-3p	6128	no	D18H	5.22338478906	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466n-3p	6128	no	D2H	6.38953896387	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466n-3p	6128	no	D21Ø	6.36220181001	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466n-3p	6128	no	D21L	6.40790068915	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466n-3p	6128	no	D5H	5.18262030995	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466n-3p	6128	no	D8H	4.89230779024	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466n-3p	6128	no	1⁰iPSC	6.57969776602	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466n-3p	6128	no	2⁰iPSC	5.3457953508	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466n-3p	6128	no	ESC	5.62151678492	ESC	ESC	ESC	
D0	0.0	mmu-mir-669a-3-3p	6128	no	2°MEF	1.99734144958	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669a-3-3p	6128	no	D11H	1.77508914799	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669a-3-3p	6128	no	D16H	2.4763959826	D16H	High Dox	Day 16	
