chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
7509352083_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.81565163418	206_LPS_24	NULL	NULL
7509352083_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	11.3704886293	270_LPS_24	NULL	NULL
7509352083_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	11.8102450807	86_LPS_24	NULL	NULL
7509352083_D	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.2608232534	230_LPS_2	NULL	NULL
7509352083_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.8831901415	234_LPS_2	NULL	NULL
7509352083_F	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.24613400312	236_LPS_24	NULL	NULL
7509352083_G	0.0	ILMN_1791759	6646	no	LPS 24 hours	10.4760569507	182_LPS_24	NULL	NULL
7509352083_H	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.0289238604	264_LPS_2	NULL	NULL
7509352083_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	12.4727843064	93_LPS_24	NULL	NULL
7509352083_J	0.0	ILMN_1791759	6646	no	IFN	14.8651845754	11_IFN	NULL	NULL
7509352083_K	0.0	ILMN_1791759	6646	no	IFN	14.5920105986	178_IFN	NULL	NULL
7509352083_L	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.3704191309	212_LPS_2	NULL	NULL
7509352085_A	0.0	ILMN_1791759	6646	no	IFN	14.943039326	68_IFN	NULL	NULL
7509352085_B	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.801293262	258_LPS_2	NULL	NULL
7509352085_C	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.5661737586	131_LPS_2	NULL	NULL
7509352085_D	0.0	ILMN_1791759	6646	no	IFN	14.8577099914	13_IFN	NULL	NULL
7509352085_F	0.0	ILMN_1791759	6646	no	IFN	14.8880889671	1_IFN	NULL	NULL
7509352085_G	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.8105307918	200_LPS_2	NULL	NULL
7509352085_H	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.8964988872	5_LPS_2	NULL	NULL
7509352085_I	0.0	ILMN_1791759	6646	no	IFN	14.8802146645	120_IFN	NULL	NULL
7509352085_J	0.0	ILMN_1791759	6646	no	IFN	14.6587677739	127_IFN	NULL	NULL
7509352085_K	0.0	ILMN_1791759	6646	no	untreated 24 hours	7.96432053097	270_UT_24	NULL	NULL
7509352085_L	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.89847617077	245_LPS_24	NULL	NULL
7509379004_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	14.2694147693	57_LPS_24	NULL	NULL
7509379004_B	0.0	ILMN_1791759	6646	no	IFN	14.792426396	119_IFN	NULL	NULL
7509379004_C	0.0	ILMN_1791759	6646	no	IFN	14.3000017228	3_IFN	NULL	NULL
7509379004_D	0.0	ILMN_1791759	6646	no	IFN	14.8651845754	204_IFN	NULL	NULL
7509379004_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.9083934422	273_LPS_2	NULL	NULL
7509379004_F	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.7369182226	171_LPS_2	NULL	NULL
7509379004_G	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.160908282	197_LPS_24	NULL	NULL
7509379004_H	0.0	ILMN_1791759	6646	no	untreated 24 hours	8.01983301183	170_UT_24	NULL	NULL
7509379004_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	10.6201425586	123_LPS_24	NULL	NULL
7509379004_J	0.0	ILMN_1791759	6646	no	IFN	14.7984314918	286_IFN	NULL	NULL
7509379004_K	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.2261652103	98_LPS_2	NULL	NULL
7509379004_L	0.0	ILMN_1791759	6646	no	IFN	14.7864066928	192_IFN	NULL	NULL
7509379008_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	14.7421786551	125_LPS_24	NULL	NULL
7509379008_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.05461036121	208_LPS_24	NULL	NULL
7509379008_C	0.0	ILMN_1791759	6646	no	IFN	15.0161279528	170_IFN	NULL	NULL
7509379008_D	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.68322575642	178_LPS_24	NULL	NULL
7509379008_E	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.25982392938	216_LPS_24	NULL	NULL
7509379008_G	0.0	ILMN_1791759	6646	no	IFN	14.9536545304	61_IFN	NULL	NULL
7509379008_I	0.0	ILMN_1791759	6646	no	IFN	14.623224047	71_IFN	NULL	NULL
7509379008_K	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.26029181132	234_LPS_24	NULL	NULL
7509379010_A	0.0	ILMN_1791759	6646	no	IFN	14.7864066928	106_IFN	NULL	NULL
7509379010_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	12.1539968457	61_LPS_24	NULL	NULL
7509379010_D	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.5527346841	273_LPS_24	NULL	NULL
7509379010_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.3248536429	189_LPS_2	NULL	NULL
7509379010_F	0.0	ILMN_1791759	6646	no	LPS 24 hours	13.4264576949	74_LPS_24	NULL	NULL
7509379010_G	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.0951244069	92_LPS_2	NULL	NULL
7509379010_H	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.0335862227	264_LPS_24	NULL	NULL
7509379010_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	12.9662370408	126_LPS_24	NULL	NULL
7509379010_J	0.0	ILMN_1791759	6646	no	IFN	14.8651845754	201_IFN	NULL	NULL
7509379010_K	0.0	ILMN_1791759	6646	no	LPS 24 hours	5.16054615952	198_LPS_24	NULL	NULL
7509379010_L	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.5253840114	241_LPS_24	NULL	NULL
7509379012_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.71764916249	127_LPS_24	NULL	NULL
7509379012_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.26204824687	174_LPS_24	NULL	NULL
7509379012_C	0.0	ILMN_1791759	6646	no	IFN	14.9326599733	90_IFN	NULL	NULL
7509379012_D	0.0	ILMN_1791759	6646	no	IFN	14.9894641951	156_IFN	NULL	NULL
7509379012_E	0.0	ILMN_1791759	6646	no	IFN	14.8229583219	162_IFN	NULL	NULL
7509379012_F	0.0	ILMN_1791759	6646	no	IFN	14.9770999298	227_IFN	NULL	NULL
7509379012_G	0.0	ILMN_1791759	6646	no	IFN	14.8727366232	95_IFN	NULL	NULL
